,temp,objective,weight,percent_annealed
0,4000,33110.8,2157.1,0.9498850574712644
1,3600.0,30266.5,2008.9,0.9476439790575916
2,3240.0,33133.1,2155.7,0.9391955098222639
3,2916.0,29588.5,1976.7,0.9266480965645311
4,2624.4,30376.4,2016.2,0.9192660550458716
5,2361.96,30389.099999999995,2019.3999999999999,0.9107468123861566
6,2125.764,30911.4,2042.6,0.9148741418764302
7,1913.1876000000002,25842.699999999997,1785.8999999999999,0.8916256157635468
8,1721.8688400000003,27557.1,1870.1,0.8772468215694871
9,1549.6819560000004,31187.499999999996,2059.2,0.8717504332755632
10,1394.7137604000004,28282.2,1908.7,0.8590575010808473
11,1255.2423843600004,27772.7,1884.0,0.854344122657581
12,1129.7181459240005,30704.4,2034.6,0.8313953488372093
13,1016.7463313316005,33213.30000000001,2161.7000000000003,0.8152969894222946
14,915.0716981984405,26203.3,1801.0,0.7980691874497184
15,823.5645283785964,23429.400000000005,1660.6000000000001,0.7745060054242542
16,741.2080755407368,23603.9,1671.8,0.757002271006813
17,667.0872679866632,22111.000000000004,1596.3000000000002,0.7363569321533924
18,600.3785411879969,24570.499999999996,1718.8999999999999,0.7213822894168467
19,540.3406870691972,23671.800000000003,1678.6000000000001,0.6874571624400274
20,486.3066183622775,21287.6,1553.9,0.6520170547720564
21,437.6759565260498,17622.6,1366.2,0.6352903637523931
22,393.9083608734448,22517.0,1617.9,0.5869120654396728
23,354.5175247861003,19543.999999999996,1465.6999999999998,0.5571667596207474
24,319.06577230749025,18007.200000000004,1387.1000000000001,0.5435019032082654
25,287.15919507674124,15847.099999999999,1275.6,0.4928253339930727
26,258.4432755690671,13222.199999999999,1144.1,0.4494609164420485
27,232.5989480121604,12288.299999999997,1094.6,0.4302977988778593
28,209.33905321094437,7036.400000000001,825.7,0.38819390148553556
29,188.40514788984993,8202.099999999999,886.6999999999999,0.3593694016481548
30,169.56463310086494,5360.999999999999,746.3,0.3196222791293214
31,152.60816979077845,3918.2,668.5,0.2907264521764449
32,137.3473528117006,2816.6000000000017,613.4000000000001,0.26958993097848155
33,123.61261753053054,748.9000000000018,504.9000000000001,0.2465753424657534
34,111.25135577747749,1134.7999999999995,525.4,0.2370791844476055
35,100.12622019972974,1952.1999999999996,566.4,0.2274741506646972
36,90.11359817975678,721.6999999999998,504.2,0.22612041647804437
37,81.1022383617811,590.4,498.1,0.21699246478104184
38,72.992014525603,1095.1000000000004,522.1,0.22076779232207677
39,65.6928130730427,681.4000000000004,501.6,0.2238888888888889
40,59.123531765738434,634.0,474.59999999999997,0.212105095202638
41,53.21117858916459,632.9,499.4,0.21165900543251148
42,47.89006073024813,635.8,486.40000000000003,0.2166864800605209
43,43.101054657223315,636.3,478.6,0.21057020744292712
44,38.790949191500985,561.9,490.5,0.21119190641795763
45,34.91185427235089,608.9,498.29999999999995,0.20437588223432143
46,31.4206688451158,644.5,491.0,0.21347248576850095
47,28.27860196060422,653.5,490.09999999999997,0.19622604614782949
48,25.4507417645438,631.6,498.5,0.19440396385893324
49,22.905667588089422,600.7,494.3,0.196387171561051
50,20.61510082928048,587.0,487.20000000000005,0.1923482596605619
51,18.55359074635243,629.3,461.29999999999995,0.18236617183985604
52,16.69823167171719,585.4,498.5,0.1745725558965366
53,15.02840850454547,574.7,478.3,0.16932826362484157
54,13.525567654090922,604.6,495.9,0.1649535400049338
55,12.17301088868183,591.0,495.9,0.15460829493087558
56,10.955709799813647,571.9,491.9,0.15426997245179064
57,9.860138819832283,529.3,488.40000000000003,0.14577893820713664
58,8.874124937849055,526.3,496.59999999999997,0.13700027196083764
59,7.98671244406415,472.9,485.90000000000003,0.1314308155517738
60,7.188041199657735,495.79999999999995,494.1,0.11983593889318195
61,6.469237079691961,498.8,492.20000000000005,0.11668597914252607
62,5.822313371722765,491.5,493.2,0.10237743725500179
63,5.240082034550489,470.1,483.5,0.0953849072712612
64,4.71607383109544,469.5,494.79999999999995,0.09134088417975886
65,4.2444664479858965,447.79999999999995,487.6,0.080802820286836
66,3.8200198031873067,421.29999999999995,500.0,0.07150506925603313
67,3.4380178228685763,453.4,495.6,0.061737082020375075
68,3.0942160405817187,385.79999999999995,497.30000000000007,0.05285451197053407
69,2.784794436523547,396.70000000000005,500.0,0.046695252039322316
70,2.506314992871192,353.0999999999999,499.79999999999995,0.036935279023353466
71,2.255683493584073,342.79999999999995,497.80000000000007,0.031678523559129805
72,2.030115144225666,337.4,498.1,0.02846051007815714
73,1.8271036298030994,344.79999999999995,499.79999999999995,0.022598870056497175
74,1.6443932668227894,373.0,494.5,0.019340536132912037
75,1.4799539401405104,347.0,499.40000000000003,0.016361372932598258
76,1.3319585461264594,324.5,497.09999999999997,0.012299438173811813
77,1.1987626915138134,297.70000000000005,496.40000000000003,0.01107039049665108
78,1.0788864223624322,304.4,498.5,0.008292166549047283
79,0.970997780126189,295.4,496.3,0.0072523985797386115
80,0.87389800211357,297.9,498.9,0.00555569521606878
81,0.786508201902213,283.9,499.5,0.003689203433217889
82,0.7078573817119918,290.29999999999995,499.8,0.0034119417962870046
83,0.6370716435407926,276.6,499.7,0.00285821737495299
84,0.5733644791867134,275.5,498.7,0.0016025641025641025
85,0.5160280312680421,275.6,499.7,0.000900810729656691
86,0.4644252281412379,274.9,500.0,0.0013017247853405762
87,0.4179827053271141,275.4000000000001,499.3,0.000900810729656691
88,0.3761844347944027,274.5,500.0,0.00022504500900180036
89,0.33856599131496246,274.5,500.0,0.00015002250337550632
90,0.3047093921834662,274.5,500.0,2.500062501562539e-05
